date,total_domains,whitelisted,sources
2025-12-07,0,2267,61
2025-12-08,0,2267,61
2025-12-09,0,2267,61
2025-12-10,0,2267,61
2025-12-11,0,2267,61
2025-12-12,0,2267,61
2025-12-13,0,2267,61
2025-12-14,0,2267,61
2025-12-15,0,2267,61
2025-12-16,0,2267,61
2025-12-17,0,2267,61
2025-12-18,0,2267,61
2025-12-19,0,2267,61
2025-12-20,0,2267,61
2025-12-21,0,2267,61
2025-12-22,0,2267,61
2025-12-23,0,2267,61
2025-12-24,0,2267,61
2025-12-25,0,2267,61
2025-12-26,0,2267,61
2025-12-27,0,2267,61
2025-12-28,0,2267,61
2025-12-29,0,2267,61
2025-12-30,0,2267,61
2025-12-31,0,2267,61
2026-01-01,0,2267,61
2026-01-02,0,2267,61
2026-01-03,0,2267,61
2026-01-04,0,2267,61
2026-01-05,2731289,2268,61
2026-01-06,2727513,2268,61
2026-01-07,2730241,2268,61
2026-01-08,2748358,2268,61
2026-01-09,2746315,2268,61
2026-01-10,2765748,2268,61
2026-01-11,2762511,2268,61
2026-01-12,2777928,2268,61
2026-01-13,2778608,2268,61
2026-01-14,2778237,2268,61
2026-01-15,2782214,2268,61
2026-01-16,2766869,2268,61
2026-01-17,2777495,2268,61
